Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-07-20,Ander Sepp,TVSK,Recurve,Adult,Men,70m,122cm,272,Eesti Meistrivõistlused OR 2025
2025-07-20,Johanna Viktoria Jõe,SAG,Recurve,Adult,Women,70m,122cm,272,Eesti Meistrivõistlused OR 2025
2025-07-20,Eimar Kukk,PVM,Recurve,Adult,Men,70m,122cm,271,Eesti Meistrivõistlused OR 2025
2025-07-20,Heldur Hanni,SAG,Recurve,Adult,Men,70m,122cm,271,Eesti Meistrivõistlused OR 2025
2025-07-20,Kaarel Pillart,SAG,Recurve,Adult,Men,70m,122cm,271,Eesti Meistrivõistlused OR 2025
2025-07-20,Märt Labi,VVVK,Recurve,Adult,Men,70m,122cm,270,Eesti Meistrivõistlused OR 2025
2025-07-20,Tarvet Labi,VVVK,Recurve,Adult,Men,70m,122cm,270,Eesti Meistrivõistlused OR 2025
2025-07-20,Alo Nurmsalu,VVVK,Recurve,Adult,Men,70m,122cm,269,Eesti Meistrivõistlused OR 2025
2025-07-20,Ander Sepp,TVSK,Recurve,Adult,Men,70m,122cm,267,Eesti Meistrivõistlused OR 2025
2025-07-20,Patrick Järve,VVVK,Recurve,Adult,Men,70m,122cm,267,Eesti Meistrivõistlused OR 2025
2025-07-20,Tiit Heinsalu,SJK,Recurve,+60,Men,60m,122cm,267,Eesti Meistrivõistlused OR 2025
2025-07-20,Karoline Kivilo,JVI,Recurve,Adult,Women,70m,122cm,266,Eesti Meistrivõistlused OR 2025
2025-07-20,Mikk Mihkelson,JVI,Recurve,Adult,Men,70m,122cm,265,Eesti Meistrivõistlused OR 2025
2025-07-20,Krista Hein,SAG,Barebow,Adult,Women,50m,122cm,265,Eesti Meistrivõistlused OR 2025
2025-07-20,Rait Ots,TLVK,Recurve,Adult,Men,70m,122cm,264,Eesti Meistrivõistlused OR 2025
2025-07-20,Andres Sarapuu,VVVK,Recurve,Adult,Men,70m,122cm,264,Eesti Meistrivõistlused OR 2025
2025-07-20,Patrick Järve,VVVK,Recurve,Adult,Men,70m,122cm,263,Eesti Meistrivõistlused OR 2025
