Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-09-06,Martin Rist,VVVK,Recurve,Adult,Men,30m,80cm,334,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Ingrid Ritval,VVVK,Recurve,Adult,Women,30m,80cm,333,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Kait Soesoo,VVVK,Recurve,Adult,Men,30m,80cm,332,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Aivar Pruuli,BH,Compound,Adult,Men,50m,80cm,331,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Mikk Mihkelson,JVI,Recurve,Adult,Men,30m,80cm,330,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Emma Kask,TVSK,Recurve,Adult,Women,30m,80cm,330,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Viktor Palmet,KSK,Recurve,+70,Men,70m+60m,122cm,329,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Hannes Kraav,TL,Recurve,Adult,Men,30m,80cm,328,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Tanel Kaasik,TLVK,Recurve,+50,Men,30m,80cm,328,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Tarmo Kanamäe,SAG,Compound,+50,Men,30m,80cm,326,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Kalju Baumann,SVK,Barebow,+70,Men,70m+60m,122cm,326,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Birgit Metsjõe,VVVK,Recurve,Adult,Women,30m,80cm,324,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Tarvet Labi,VVVK,Recurve,Adult,Men,30m,80cm,323,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Aivar Pruuli,BH,Compound,Adult,Men,70m,80cm,323,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Emma Kask,TVSK,Recurve,Adult,Women,60m,122cm,322,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Lisete Lepik,VVVK,Recurve,Adult,Women,30m,80cm,322,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Mait Sirel,PVM,Compound,Adult,Men,70m,80cm,318,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Tanel Kaasik,TLVK,Recurve,+50,Men,70m,122cm,316,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Indrek Hiie,SAG,Recurve,+50,Men,30m,80cm,314,Eesti Meistrivõistlused 2025 harjutuses 1440
