Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-08-16,Mait Sirel,PVM,Compound,Adult,Men,2x50m,80cm,678,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Mait Sirel,PVM,Compound,Adult,Men,2x50m,80cm,667,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Rasmus Ellam,JVI,Recurve,U13,Men,2x15m,80cm,657,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Gregor Oriehov,SVK,Compound,U18,Men,2x50m,80cm,657,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Gregor Oriehov,SVK,Compound,U18,Men,2x50m,80cm,655,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Emma Kask,TVSK,Recurve,U18,Women,2x60m,122cm,653,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Raiko Luik,PVM,Recurve,U13,Men,2x15m,80cm,653,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Krent Kaasik,TVSK,Recurve,U15,Men,2x30m,80cm,652,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Krent Kaasik,TVSK,Recurve,U15,Men,2x30m,80cm,652,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Dagne Oriehov,SVK,Compound,U21,Women,2x50m,80cm,643,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Raiko Luik,PVM,Recurve,U13,Men,2x15m,80cm,639,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Triinu Lilienthal,JVI,Recurve,Adult,Women,2x70m,122cm,637,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Dagne Oriehov,SVK,Compound,U21,Women,2x50m,80cm,635,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Marek Pillmaa,PVM,Recurve,U13,Men,2x15m,80cm,630,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Rasmus Ellam,JVI,Recurve,U13,Men,2x15m,80cm,625,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Marek Pillmaa,PVM,Recurve,U13,Men,2x15m,80cm,623,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Albert Ild,JVI,Recurve,U13,Men,2x15m,80cm,618,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Emma Kask,TVSK,Recurve,U18,Women,2x60m,122cm,617,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Triinu Lilienthal,JVI,Recurve,Adult,Women,2x70m,122cm,615,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Liise Kuusk,TYRI,Compound,U21,Women,2x50m,80cm,615,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Mikk Mihkelson,JVI,Recurve,U18,Men,2x60m,122cm,605,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Liise Kuusk,TYRI,Compound,U21,Women,2x50m,80cm,602,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Otto Mikkor,VVVK,Recurve,U15,Men,2x30m,80cm,601,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Sandra Lõoke,VVVK,Recurve,U15,Women,2x30m,80cm,598,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Sandra Lõoke,VVVK,Recurve,U15,Women,2x30m,80cm,591,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Stella Õismaa,VVVK,Recurve,U15,Women,2x30m,80cm,591,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Otto Mikkor,VVVK,Recurve,U15,Men,2x30m,80cm,586,XV Aksel Randmeri Memoriaal 2025
